Run Fitness1 Solution1 Elite1 Iteration1 Fitness2 Solution2 Elite2 Iteration2
1 1844164.00 3021021 T 1 1842028.00 3011031 T 2
1 1844164.00 3021021 T 1 1848289.20 3041021 T 2
1 1844164.00 3021021 T 1 3058750.75 2031031 F 2
1 1844164.00 3021021 T 1 3064577.00 2021031 F 2
1 1844164.00 3021021 T 1 3118273.75 2021021 F 2
1 1844164.00 3021021 T 1 1620527.33 3031011 T 2
1 1844164.00 3021021 T 1 1850334.00 1021011 F 2
1 1844164.00 3021021 T 1 3079135.25 2011021 T 2
1 1844164.00 3021021 T 1 3978054.25 2021041 F 2
1 1844164.00 3021021 T 1 1627898.33 1021031 F 2
1 1844164.00 3021021 T 1 1849072.00 1031021 F 2
1 1844164.00 3021021 T 1 1621164.33 3021031 T 2
1 1844164.00 3021021 T 1 1852340.80 1011011 F 2
1 1844164.00 3021021 T 1 3118273.75 2021021 F 2
1 1844164.00 3021021 T 1 1624792.00 3021011 T 2
1 1844164.00 3021021 T 1 1850836.80 2031021 F 2
1 1844164.00 3021021 T 1 1845842.80 3031021 T 2
1 1844164.00 3021021 T 1 1844164.00 3021021 T 2
1 1844164.00 3021021 T 1 1847574.80 0021021 F 2
1 1844164.00 3021021 T 1 1852340.80 1011011 F 2
1 1844164.00 3021021 T 1 1849382.00 1011031 T 2
1 1844164.00 3021021 T 1 1845842.80 3031021 T 2
1 1844164.00 3021021 T 1 1850334.00 1021011 F 2
1 1844164.00 3021021 T 1 3453951.14 3011011 T 2
1 1844164.00 3021021 T 1 1848916.80 1021021 F 2
1 1844164.00 3021021 T 1 1847574.80 0021021 F 2
1 1844164.00 3021021 T 1 1848916.80 1021021 F 2
1 1844164.00 3021021 T 1 1852340.80 1011011 F 2
1 1844164.00 3021021 T 1 1893670.40 3031001 T 2
1 1844164.00 3021021 T 1 3118273.75 2021021 F 2
1 1844164.00 3021021 T 1 1621164.33 3021031 T 2
1 1844164.00 3021021 T 1 1850284.40 0011041 F 2
1 1844164.00 3021021 T 1 1844164.00 3021021 T 2
1 1844164.00 3021021 T 1 1621164.33 3021031 T 2
1 1844164.00 3021021 T 1 1846376.40 1011021 T 2
1 1844164.00 3021021 T 1 1842028.00 3011031 T 2
1 1844164.00 3021021 T 1 3463707.43 0021011 F 2
1 1844164.00 3021021 T 1 3159057.25 2011031 F 2
1 1844164.00 3021021 T 1 1847574.80 0021021 F 2
1 1844164.00 3021021 T 1 1620527.33 3031011 T 2
1 1844164.00 3021021 T 1 1852205.20 0031021 F 2
1 1844164.00 3021021 T 1 1627422.00 1031011 F 2
1 1844164.00 3021021 T 1 1620527.33 3031011 T 2
1 1844164.00 3021021 T 1 1624792.00 3021011 T 2
1 1844164.00 3021021 T 1 1845399.20 3031031 T 2
1 1844164.00 3021021 T 1 1842028.00 3011031 T 2
1 1844164.00 3021021 T 1 1849382.00 1011031 T 2
1 1844164.00 3021021 T 1 1844168.00 3011021 T 2
1 1844164.00 3021021 T 1 1893670.40 3031001 T 2
1 1844164.00 3021021 T 1 3453951.14 3011011 T 2
1 1844164.00 3021021 T 1 1844940.00 3021041 F 2
1 1844164.00 3021021 T 1 1850334.00 1021011 F 2
