Run Fitness1 Solution1 Elite1 Iteration1 Fitness2 Solution2 Elite2 Iteration2
1 454835.60 3043029 T 1 4682713.60 1045027 F 2
1 454835.60 3043029 T 1 4676945.20 0043029 F 2
1 454835.60 3043029 T 1 4671505.20 2049025 F 2
1 454835.60 3043029 T 1 4668663.60 1053039 F 2
1 454835.60 3043029 T 1 4346380.67 3051029 F 2
1 454835.60 3043029 T 1 455825.20 3043039 F 2
1 454835.60 3043029 T 1 4639182.80 2051031 F 2
1 454835.60 3043029 T 1 3577308.00 2043039 F 2
1 454835.60 3043029 T 1 4675324.80 1047023 F 2
1 454835.60 3043029 T 1 460237.20 3027021 F 2
1 454835.60 3043029 T 1 1659180.33 0053017 F 2
1 454835.60 3043029 T 1 4641187.60 2041037 F 2
1 454835.60 3043029 T 1 2765146.00 3053023 F 2
1 454835.60 3043029 T 1 3686863.23 2039025 F 2
1 454835.60 3043029 T 1 4675400.80 0031027 F 2
1 454835.60 3043029 T 1 4350946.67 3051025 F 2
1 454835.60 3043029 T 1 455995.60 3063019 T 2
1 454835.60 3043029 T 1 4678916.00 0039017 F 2
1 454835.60 3043029 T 1 4672647.20 0039029 F 2
1 454835.60 3043029 T 1 4670185.60 1045031 F 2
1 454835.60 3043029 T 1 2767505.33 3045027 F 2
1 454835.60 3043029 T 1 4668654.00 2043019 F 2
1 454835.60 3043029 T 1 2782981.11 0033015 F 2
1 454835.60 3043029 T 1 3505176.14 0043031 F 2
1 454835.60 3043029 T 1 3299748.00 3043035 T 2
1 454835.60 3043029 T 1 3587235.56 0045023 F 2
1 454835.60 3043029 T 1 4671410.40 1041017 F 2
1 454835.60 3043029 T 1 2766729.56 3039021 F 2
1 454835.60 3043029 T 1 4675603.60 2047049 F 2
1 454835.60 3043029 T 1 3928802.00 3033033 F 2
1 454835.60 3043029 T 1 3028262.91 0049025 F 2
1 454835.60 3043029 T 1 2769126.67 3035021 F 2
1 454835.60 3043029 T 1 4668796.80 1055029 F 2
1 454835.60 3043029 T 1 3637556.44 2045023 F 2
1 454835.60 3043029 T 1 4662464.80 2029021 F 2
1 454835.60 3043029 T 1 4671915.20 2049033 F 2
1 454835.60 3043029 T 1 3243833.60 0055021 F 2
1 454835.60 3043029 T 1 3586542.89 0061029 F 2
1 454835.60 3043029 T 1 459553.60 3045033 F 2
1 454835.60 3043029 T 1 4663952.40 2023035 F 2
1 454835.60 3043029 T 1 3050288.25 3039029 F 2
1 454835.60 3043029 T 1 456074.40 3045041 F 2
1 454835.60 3043029 T 1 2764324.22 3053017 F 2
1 454835.60 3043029 T 1 4674478.80 0041031 F 2
1 454835.60 3043029 T 1 455092.40 3041027 F 2
1 454835.60 3043029 T 1 4676637.60 1039015 F 2
1 454835.60 3043029 T 1 3628538.89 2039027 F 2
1 454835.60 3043029 T 1 3303826.80 3043031 F 2
1 454835.60 3043029 T 1 4670070.80 2037029 F 2
1 454835.60 3043029 T 1 2782613.78 2055027 F 2
1 454835.60 3043029 T 1 4669134.00 2063033 F 2
1 454835.60 3043029 T 1 3299938.80 3039027 F 2
1 454835.60 3043029 T 1 4674304.80 0039031 F 2
1 454835.60 3043029 T 1 4630060.40 2033035 F 2
1 454835.60 3043029 T 1 4682330.40 0051025 F 2
1 454835.60 3043029 T 1 4680736.40 1037029 F 2
1 454835.60 3043029 T 1 3479378.43 3033023 T 2
1 454835.60 3043029 T 1 3237338.00 3049029 F 2
1 454835.60 3043029 T 1 4648369.20 3057037 F 2
1 454835.60 3043029 T 1 2767505.33 3045027 F 2
1 454835.60 3043029 T 1 3930823.20 3039035 F 2
1 454835.60 3043029 T 1 4678408.00 0049033 F 2
1 454835.60 3043029 T 1 3052487.25 3037029 F 2
1 454835.60 3043029 T 1 4347282.89 3021019 F 2
1 454835.60 3043029 T 1 4686730.00 1047021 F 2
1 454835.60 3043029 T 1 2395841.45 1043013 F 2
1 454835.60 3043029 T 1 4677342.80 0041017 F 2
1 454835.60 3043029 T 1 454084.00 3053025 F 2
1 454835.60 3043029 T 1 3001137.09 3059023 T 2
1 454835.60 3043029 T 1 4674733.60 0051023 F 2
1 454835.60 3043029 T 1 4667690.40 2043031 F 2
1 454835.60 3043029 T 1 1856325.20 3049021 F 2
1 454835.60 3043029 T 1 4686466.80 0045037 F 2
1 454835.60 3043029 T 1 425092.40 3039025 F 2
1 454835.60 3043029 T 1 2792450.00 0043025 F 2
1 454835.60 3043029 T 1 4683847.60 0047025 F 2
1 454835.60 3043029 T 1 4344955.33 3039033 T 2
1 454835.60 3043029 T 1 4669462.00 2043033 F 2
1 454835.60 3043029 T 1 3239252.40 1051027 F 2
1 454835.60 3043029 T 1 4676780.40 1055025 F 2
1 454835.60 3043029 T 1 3047606.25 3043025 F 2
1 454835.60 3043029 T 1 3559067.56 3043011 F 2
1 454835.60 3043029 T 1 4671505.20 2049025 F 2
1 454835.60 3043029 T 1 3050288.25 3039029 F 2
1 454835.60 3043029 T 1 4664186.00 2041021 F 2
1 454835.60 3043029 T 1 4672812.80 0035033 F 2
