Run Fitness1 Solution1 Elite1 Fitness2 Solution2 Elite2
1 32602731.8000 433000009500076000550xxxxxx351 T 33086143.2000 23150000900006600055xxxxxxxx701350 F
1 32602731.8000 433000009500076000550xxxxxx351 T 33078785.2000 33250000700008600025xxxxx091xxx401 F
1 32602731.8000 433000009500076000550xxxxxx351 T 32899067.0000 433000009500096000402000xxxxxx400 F
1 32602731.8000 433000009500076000550xxxxxx351 T 38819887.2000 20250000900006600080xxxxxxxx101xxx F
1 32602731.8000 433000009500076000550xxxxxx351 T 38089475.4000 20100000650004600080xxxxxxxx301xxx F
1 32602731.8000 433000009500076000550xxxxxx351 T 38971238.8000 402000008500056000652000xxxxxxxxx F
1 32602731.8000 433000009500076000550xxxxxx351 T 38429374.0000 00150000850003600090xxxxxxxxxxxxxx F
1 32602731.8000 433000009500076000550xxxxxx351 T 32770507.4000 432000002500086000550xxxxxx351 F
1 32602731.8000 433000009500076000550xxxxxx351 T 32924269.8000 423000007500051000306000xxxxxx301 F
1 32602731.8000 433000009500076000550xxxxxx351 T 32954581.4000 12150000750008100085xxxxxxxxxxx351 F
1 32602731.8000 433000009500076000550xxxxxx351 T 33191573.8000 23100000950006100045xxxxxxxx701351 F
1 32602731.8000 433000009500076000550xxxxxx351 T 33102666.0000 433000007000026000801000xxxxxx251 F
1 32602731.8000 433000009500076000550xxxxxx351 T 32787604.0000 33450000750005600075xxxxx021xxx201 F
1 32602731.8000 433000009500076000550xxxxxx351 T 39133788.0000 00450000550004600040xxxxxxxxxxxxxx F
1 32602731.8000 433000009500076000550xxxxxx351 T 38612739.4000 30450000600009600055xxxxx021xxxxxx F
1 32602731.8000 433000009500076000550xxxxxx351 T 33200121.0000 03200000800004600095xxxxxxxxxxx200 F
1 32602731.8000 433000009500076000550xxxxxx351 T 32647177.2500 433000008000091000252000xxxxxx351 F
1 32602731.8000 433000009500076000550xxxxxx351 T 32876886.0000 23400000600005100070xxxxxxxx301351 F
1 32602731.8000 433000009500076000550xxxxxx351 T 41233290.2000 20250000800009100010xxxxxxxx201xxx F
1 32602731.8000 433000009500076000550xxxxxx351 T 34277275.8000 3100750009600090xxxxx001xxx451 F
1 32602731.8000 433000009500076000550xxxxxx351 T 32655701.6250 432500009000016000254000xxxxxx301 F
1 32602731.8000 433000009500076000550xxxxxx351 T 33387570.6000 02250000850005600020xxxxxxxxxxx350 F
1 32602731.8000 433000009500076000550xxxxxx351 T 38196290.6000 30300000900009100085xxxxx031xxxxxx F
1 32602731.8000 433000009500076000550xxxxxx351 T 33190097.6000 03300000900006100095xxxxxxxxxxx300 F
1 32602731.8000 433000009500076000550xxxxxx351 T 33685485.2000 421000007500071000851000xxxxxx301 F
1 32602731.8000 433000009500076000550xxxxxx351 T 32978878.2000 13250000600007100055xxxxxxxxxxx301 F
1 32602731.8000 433000009500076000550xxxxxx351 T 38501094.2000 403500009000076000552000xxxxxxxxx F
1 32602731.8000 433000009500076000550xxxxxx351 T 33380414.6000 2250000750006600045xxxxxxxx501350 F
1 32602731.8000 433000009500076000550xxxxxx351 T 33006391.6000 13400000750005600030xxxxxxxxxxx400 F
1 32602731.8000 433000009500076000550xxxxxx351 T 33272295.6000 13450000750008100070xxxxxxxxxxx451 F
1 32602731.8000 433000009500076000550xxxxxx351 T 33232194.2000 21150000600007100065xxxxxxxx501301 F
1 32602731.8000 433000009500076000550xxxxxx351 T 33107096.4000 03450000900002100080xxxxxxxxxxx351 F
1 32602731.8000 433000009500076000550xxxxxx351 T 38813316.6000 30250000800006100050xxxxx051xxxxxx F
1 32602731.8000 433000009500076000550xxxxxx351 T 33186549.0000 33150000650007600090xxxxx021xxx350 F
1 32602731.8000 433000009500076000550xxxxxx351 T 39713363.4000 403500005500061000452000xxxxxxxxx F
1 32602731.8000 433000009500076000550xxxxxx351 T 32814945.8000 421500006500056000504000xxxxxx151 F
1 32602731.8000 433000009500076000550xxxxxx351 T 33333656.8000 22200000800009600045xxxxxxxx501251 F
1 32602731.8000 433000009500076000550xxxxxx351 T 38932773.0000 10150000700008100045xxxxxxxxxxxxxx F
1 32602731.8000 433000009500076000550xxxxxx351 T 32916294.4000 422500006500026000501000xxxxxx251 F
1 32602731.8000 433000009500076000550xxxxxx351 T 32974585.2000 13300000600005600025xxxxxxxxxxx301 F
1 32602731.8000 433000009500076000550xxxxxx351 T 33425785.2000 02150000500003100020xxxxxxxxxxx200 F
1 32602731.8000 433000009500076000550xxxxxx351 T 33130797.0000 03350000950005600085xxxxxxxxxxx451 F
1 32602731.8000 433000009500076000550xxxxxx351 T 33395728.4000 411000008000066000301000xxxxxx400 F
1 32602731.8000 433000009500076000550xxxxxx351 T 38134738.2000 402500009000041000405000xxxxxxxxx F
1 32602731.8000 433000009500076000550xxxxxx351 T 33730494.4000 21400000650008100065xxxxxxxx301300 F
1 32602731.8000 433000009500076000550xxxxxx351 T 32917857.0000 412500009500046000452000xxxxxx400 F
1 32602731.8000 433000009500076000550xxxxxx351 T 32678528.7500 433500005500081000350xxxxxx351 F
1 32602731.8000 433000009500076000550xxxxxx351 T 38397105.0000 00100000600002100090xxxxxxxxxxxxxx F
1 32602731.8000 433000009500076000550xxxxxx351 T 33053073.2000 13450000900006600035xxxxxxxxxxx301 F
1 32602731.8000 433000009500076000550xxxxxx351 T 39896506.8000 20350000900006600075xxxxxxxx601xxx F
1 32602731.8000 433000009500076000550xxxxxx351 T 33025463.2000 11400000850002600050xxxxxxxxxxx400 F
1 32602731.8000 433000009500076000550xxxxxx351 T 34235972.8000 3100700005100070xxxxx081xxx250 F
1 32602731.8000 433000009500076000550xxxxxx351 T 33225259.6000 22400000900006600060xxxxxxxx201251 F
1 32602731.8000 433000009500076000550xxxxxx351 T 33235665.8000 33150000550006600080xxxxx061xxx300 F
1 32602731.8000 433000009500076000550xxxxxx351 T 32657632.5000 433000007500066000651000xxxxxx251 F
1 32602731.8000 433000009500076000550xxxxxx351 T 32776325.4000 434000006000071000254000xxxxxx251 F
1 32602731.8000 433000009500076000550xxxxxx351 T 33011225.6000 423000006500086000754000xxxxxx101 F
1 32602731.8000 433000009500076000550xxxxxx351 T 33723128.0000 413000007500041000851000xxxxxx400 F
1 32602731.8000 433000009500076000550xxxxxx351 T 33604726.4000 32150000550008600055xxxxx091xxx351 F
1 32602731.8000 433000009500076000550xxxxxx351 T 33666499.4000 412500005000086000804000xxxxxx101 F
1 32602731.8000 433000009500076000550xxxxxx351 T 33211050.8000 22400000650004100070xxxxxxxx301400 F
1 32602731.8000 433000009500076000550xxxxxx351 T 33031915.8000 03300000750007600055xxxxxxxxxxx200 F
1 32602731.8000 433000009500076000550xxxxxx351 T 43173601.6000 10400000400008100070xxxxxxxxxxxxxx F
1 32602731.8000 433000009500076000550xxxxxx351 T 33083781.6000 2335000085000100075xxxxxxxx401351 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 32798091.8000 422000003500076000603000xxxxxx101 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 32670567.1250 431000009500086000109000xxxxxx251 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 32922743.4000 433500001000026000305000xxxxxx400 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 32971277.4000 03200000450007600035xxxxxxxxxxx051 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 32907384.8000 431500002000066000404000xxxxxx300 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 33255795.2000 13350000300006600030xxxxxxxxxxx100 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 33146088.2000 02400000700002600005xxxxxxxxxxx251 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 32619386.7000 434000002000026000555000xxxxxx251 T
1 32673347.6250 434000004000071000506000xxxxxx251 T 33054213.4000 13450000550006100060xxxxxxxxxxx300 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 33571621.0000 3140000035000600060xxxxx081xxx250 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 33430737.4000 23350000300009100045xxxxxxxx601150 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 33177295.2000 03250000900007100025xxxxxxxxxxx300 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 33934709.0000 01150000750003600070xxxxxxxxxxx151 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 32834134.6000 33400000250001600095xxxxx041xxx151 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 49760996.0000 10100000150009100080xxxxxxxxxxxxxx F
1 32673347.6250 434000004000071000506000xxxxxx251 T 32670667.3750 432000005500061000506000xxxxxx401 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 33090451.2000 33200000400007600040xxxxx071xxx501 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 33161722.6000 13400000100006600050xxxxxxxxxxx300 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 32661961.7500 432000005500016000306000xxxxxx401 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 32650354.2500 433500007500056000057000xxxxxx251 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 32876686.8000 432500004000061000455000xxxxxx350 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 38334897.4000 404000008500071000457000xxxxxxxxx F
1 32673347.6250 434000004000071000506000xxxxxx251 T 33835305.8000 412000008500046000859000xxxxxx050 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 32776661.8000 23150000350006600045xxxxxxxx101401 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 33012469.6000 33200000550006600060xxxxx011xxx101 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 32893930.8000 412000003000096000658000xxxxxx151 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 41248550.4000 20350000700004100020xxxxxxxx401xxx F
1 32673347.6250 434000004000071000506000xxxxxx251 T 33193975.0000 33150000250003100055xxxxx091xxx201 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 33595883.0000 12450000550006100070xxxxxxxxxxx051 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 33084090.4000 23350000300002600015xxxxxxxx501201 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 32846101.8000 03350000400007600030xxxxxxxxxxx101 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 35251869.2000 31400000100008600005xxxxx051xxx051 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 33641827.8000 125000055000600030xxxxxxxxxxx350 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 33356859.4000 22400000400002600020xxxxxxxx201151 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 32620080.1000 431000001500066000359000xxxxxx201 T
1 32673347.6250 434000004000071000506000xxxxxx251 T 32625578.8000 432000006000071000653000xxxxxx101 T
1 32673347.6250 434000004000071000506000xxxxxx251 T 33299086.6000 13250000650009100055xxxxxxxxxxx150 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 39537581.2000 00450000350004100070xxxxxxxxxxxxxx F
1 32673347.6250 434000004000071000506000xxxxxx251 T 33042054.8000 413000007000061000456000xxxxxx201 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 33007146.4000 03450000250004100040xxxxxxxxxxx400 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 33004281.0000 432000007000056000608000xxxxxx400 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 33258514.4000 11250000200004100065xxxxxxxxxxx300 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 32877595.8000 434000007000086000403000xxxxxx350 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 33048687.6000 32400000250006600030xxxxx021xxx300 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 38276573.0000 3015000080000600075xxxxx071xxxxxx F
1 32673347.6250 434000004000071000506000xxxxxx251 T 33146995.2000 32200000250002100060xxxxx051xxx250 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 41460161.6000 10250000500008600030xxxxxxxxxxxxxx F
1 32673347.6250 434000004000071000506000xxxxxx251 T 32888228.8000 33450000650008600060xxxxx071xxx100 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 32848782.8000 424500002000066000206000xxxxxx300 F
1 32673347.6250 434000004000071000506000xxxxxx251 T 32613072.0000 433000001000086000501000xxxxxx251 T
1 32683184.7500 434000007500026000151000xxxxxx351 T 40130432.8000 403500005500021000251000xxxxxxxxx F
1 32683184.7500 434000007500026000151000xxxxxx351 T 33472188.4000 21350000750004600025xxxxxxxx101200 F
1 32683184.7500 434000007500026000151000xxxxxx351 T 37531760.6000 10350000850001600045xxxxxxxxxxxxxx F
1 32683184.7500 434000007500026000151000xxxxxx351 T 39503923.6000 403000007000041000102000xxxxxxxxx F
1 32683184.7500 434000007500026000151000xxxxxx351 T 38028759.4000 2030000050000100025xxxxxxxx001xxx F
1 32683184.7500 434000007500026000151000xxxxxx351 T 33293491.8000 12250000700007100025xxxxxxxxxxx450 F
1 32683184.7500 434000007500026000151000xxxxxx351 T 38056885.6000 10400000700001100025xxxxxxxxxxxxxx F
1 32683184.7500 434000007500026000151000xxxxxx351 T 33248680.0000 02450000750003600060xxxxxxxxxxx451 F
1 32683184.7500 434000007500026000151000xxxxxx351 T 32797726.8000 422500003000031000502000xxxxxx251 F
1 32683184.7500 434000007500026000151000xxxxxx351 T 32823713.2000 13450000450003600030xxxxxxxxxxx401 F
1 32683184.7500 434000007500026000151000xxxxxx351 T 33038349.2000 3345000060000100020xxxxx021xxx300 F
1 32683184.7500 434000007500026000151000xxxxxx351 T 50104055.4000 10250000200007100020xxxxxxxxxxxxxx F
