(.ID.  algorithm  localsearch  alpha  beta  rho  ants  q0  rasrank  elitistants  nnls  dlb  statusElite  iteration  eliteResults) (.ID.  algorithm  localsearch  alpha  beta  rho  ants  q0  rasrank  elitistants  nnls  dlb  statusNew  iteration  newResults)
(1  ras  3  4.2136  9.1962  0.1683  25  NA  56  NA  21  0  e  2  33196004.1666667) (52  mmas  2  4.3686  4.5068  0.3847  38  NA  NA  NA  13  1  ne  2  33547917.2)
(1  ras  3  4.2136  9.1962  0.1683  25  NA  56  NA  21  0  e  2  33196004.1666667) (55  ras  3  2.2635  6.2654  0.5076  36  NA  35  NA  38  0  ne  2  33497971.2)
(1  ras  3  4.2136  9.1962  0.1683  25  NA  56  NA  21  0  e  2  33196004.1666667) (58  ras  0  3.6459  7.2538  0.3642  40  NA  65  NA  NA  NA  ne  2  39463197.4)
(1  ras  3  4.2136  9.1962  0.1683  25  NA  56  NA  21  0  e  2  33196004.1666667) (60  as  3  2.3027  8.6266  0.2821  23  NA  NA  NA  23  1  ne  2  33271437.4)
(1  ras  3  4.2136  9.1962  0.1683  25  NA  56  NA  21  0  e  2  33196004.1666667) (63  as  0  1.2205  9.522  0.248  6  NA  NA  NA  NA  NA  ne  2  39608769.2)
(1  ras  3  4.2136  9.1962  0.1683  25  NA  56  NA  21  0  e  2  33196004.1666667) (69  ras  1  1.929  2.6488  0.4622  52  NA  9  NA  30  0  ne  2  34096433.6)
(1  ras  3  4.2136  9.1962  0.1683  25  NA  56  NA  21  0  e  2  33196004.1666667) (70  ras  3  4.7321  3.032  0.0703  89  NA  25  NA  18  1  ne  2  33523096.2)
(1  ras  3  4.2136  9.1962  0.1683  25  NA  56  NA  21  0  e  2  33196004.1666667) (72  acs  3  1.8209  3.867  0.261  9  0.2238  NA  NA  21  1  ne  2  33293847.6)
(1  ras  3  4.2136  9.1962  0.1683  25  NA  56  NA  21  0  e  2  33196004.1666667) (74  ras  2  2.7043  2.859  0.2461  19  NA  54  NA  31  0  ne  2  33622228.6)
(1  ras  3  4.2136  9.1962  0.1683  25  NA  56  NA  21  0  e  2  33196004.1666667) (75  acs  0  4.5477  7.7742  0.1626  21  0.5113  NA  NA  NA  NA  ne  2  39741351.4)
(1  ras  3  4.2136  9.1962  0.1683  25  NA  56  NA  21  0  e  2  33196004.1666667) (84  eas  1  3.889  9.6799  0.3056  36  NA  NA  310  15  1  ne  2  33833173.2)
(1  ras  3  4.2136  9.1962  0.1683  25  NA  56  NA  21  0  e  2  33196004.1666667) (86  eas  2  3.6318  6.976  0.4166  63  NA  NA  145  43  1  ne  2  33655807.8)
(10  as  3  2.4084  8.9931  0.3965  8  NA  NA  NA  27  1  e  2  33197021.5) (51  as  0  1.9088  9.4338  0.5166  13  NA  NA  NA  NA  NA  ne  2  39048538.6)
(10  as  3  2.4084  8.9931  0.3965  8  NA  NA  NA  27  1  e  2  33197021.5) (59  as  1  3.0129  9.5563  0.2065  20  NA  NA  NA  31  1  ne  2  33964085)
(10  as  3  2.4084  8.9931  0.3965  8  NA  NA  NA  27  1  e  2  33197021.5) (64  eas  2  2.5327  9.9744  0.4027  37  NA  NA  704  39  1  ne  2  33595524.6)
(10  as  3  2.4084  8.9931  0.3965  8  NA  NA  NA  27  1  e  2  33197021.5) (65  ras  3  3.9282  6.9287  0.0797  45  NA  93  NA  23  1  ne  2  33213388.5)
(10  as  3  2.4084  8.9931  0.3965  8  NA  NA  NA  27  1  e  2  33197021.5) (66  as  1  1.5817  7.4893  0.4199  8  NA  NA  NA  27  1  ne  2  34126874.2)
(10  as  3  2.4084  8.9931  0.3965  8  NA  NA  NA  27  1  e  2  33197021.5) (68  mmas  3  3.0483  8.8961  0.1564  17  NA  NA  NA  26  1  ne  2  33353991.6)
(10  as  3  2.4084  8.9931  0.3965  8  NA  NA  NA  27  1  e  2  33197021.5) (71  as  2  2.6698  8.9767  0.6774  58  NA  NA  NA  19  0  ne  2  33618694.8)
(10  as  3  2.4084  8.9931  0.3965  8  NA  NA  NA  27  1  e  2  33197021.5) (73  as  2  0.8016  2.5788  0.0383  35  NA  NA  NA  44  0  ne  2  34263152)
(10  as  3  2.4084  8.9931  0.3965  8  NA  NA  NA  27  1  e  2  33197021.5) (77  ras  3  4.1686  7.6116  0.2218  60  NA  30  NA  34  0  ne  2  33424162)
(10  as  3  2.4084  8.9931  0.3965  8  NA  NA  NA  27  1  e  2  33197021.5) (78  ras  1  3.1423  3.6581  0.0662  27  NA  36  NA  22  1  ne  2  33961354.8)
(10  as  3  2.4084  8.9931  0.3965  8  NA  NA  NA  27  1  e  2  33197021.5) (79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  ne  2  33104821.5)
(10  as  3  2.4084  8.9931  0.3965  8  NA  NA  NA  27  1  e  2  33197021.5) (80  acs  0  1.2756  5.6331  0.2944  14  0.4882  NA  NA  NA  NA  ne  2  40623188.8)
(10  as  3  2.4084  8.9931  0.3965  8  NA  NA  NA  27  1  e  2  33197021.5) (81  eas  2  2.4924  5.8259  0.1946  48  NA  NA  388  29  1  ne  2  33658961.8)
(10  as  3  2.4084  8.9931  0.3965  8  NA  NA  NA  27  1  e  2  33197021.5) (82  ras  3  0.3335  4.631  0.6136  21  NA  50  NA  40  0  ne  2  33551308.6)
(10  as  3  2.4084  8.9931  0.3965  8  NA  NA  NA  27  1  e  2  33197021.5) (85  as  3  3.9957  6.5594  0.2177  41  NA  NA  NA  7  0  ne  2  33312564.4)
(10  as  3  2.4084  8.9931  0.3965  8  NA  NA  NA  27  1  e  2  33197021.5) (87  acs  3  2.9444  4.8812  0.2956  25  0.9067  NA  NA  33  0  ne  2  33380585.2)
(10  as  3  2.4084  8.9931  0.3965  8  NA  NA  NA  27  1  e  2  33197021.5) (88  mmas  3  3.1687  4.632  0.4843  62  NA  NA  NA  46  0  ne  2  33549701)
(10  as  3  2.4084  8.9931  0.3965  8  NA  NA  NA  27  1  e  2  33197021.5) (89  as  0  3.3532  5.8358  0.6453  48  NA  NA  NA  NA  NA  ne  2  39189343.8)
(10  as  3  2.4084  8.9931  0.3965  8  NA  NA  NA  27  1  e  2  33197021.5) (92  acs  1  4.279  6.7129  0.2565  27  0.0236  NA  NA  12  0  ne  2  33911240.6)
(10  as  3  2.4084  8.9931  0.3965  8  NA  NA  NA  27  1  e  2  33197021.5) (93  as  3  4.681  9.652  0.9934  84  NA  NA  NA  18  1  ne  2  33219129.1666667)
(35  eas  3  3.774  6.5805  0.8948  59  NA  NA  555  22  1  e  2  33262984.3333333) (54  as  2  1.3122  7.4586  0.884  26  NA  NA  NA  28  0  ne  2  33664840)
(35  eas  3  3.774  6.5805  0.8948  59  NA  NA  555  22  1  e  2  33262984.3333333) (56  eas  2  2.4657  6.1468  0.7424  63  NA  NA  491  17  1  ne  2  33530320.4)
(35  eas  3  3.774  6.5805  0.8948  59  NA  NA  555  22  1  e  2  33262984.3333333) (57  ras  3  3.6768  8.2024  0.6744  53  NA  50  NA  41  1  ne  2  33368600.2)
(35  eas  3  3.774  6.5805  0.8948  59  NA  NA  555  22  1  e  2  33262984.3333333) (62  eas  3  4.1915  1.1264  0.5899  49  NA  NA  409  41  0  ne  2  33603398.4)
