Run Fitness1 Solution1 Elite1 Iteration1 Fitness2 Solution2 Elite2 Iteration2
1 454835.60 3041026 T 1 461276.40 1046026 F 2
1 454835.60 3041026 T 1 3239674.80 0041026 F 2
1 454835.60 3041026 T 1 3670879.54 2046026 T 2
1 454835.60 3041026 T 1 4005266.25 1051036 F 2
1 454835.60 3041026 T 1 454084.00 3051026 F 2
1 454835.60 3041026 T 1 455825.20 3041036 T 2
1 454835.60 3041026 T 1 3247653.20 2051031 F 2
1 454835.60 3041026 T 1 3315746.20 2041036 F 2
1 454835.60 3041026 T 1 1660779.33 1046021 F 2
1 454835.60 3041026 T 1 460237.20 3026021 T 2
1 454835.60 3041026 T 1 452860.40 0051016 F 2
1 454835.60 3041026 T 1 3315746.20 2041036 F 2
1 454835.60 3041026 T 1 1649455.67 3051021 F 2
1 454835.60 3041026 T 1 2776775.33 2036021 F 2
1 454835.60 3041026 T 1 3253492.00 0031026 F 2
1 454835.60 3041026 T 1 1649455.67 3051021 F 2
1 454835.60 3041026 T 1 423983.20 3061016 T 2
1 454835.60 3041026 T 1 2391171.64 0036016 F 2
1 454835.60 3041026 T 1 3259796.40 0036026 F 2
1 454835.60 3041026 T 1 2788112.22 1046031 F 2
1 454835.60 3041026 T 1 454835.60 3041026 T 2
1 454835.60 3041026 T 1 2778602.00 2041016 F 2
1 454835.60 3041026 T 1 4668958.80 0031011 F 2
1 454835.60 3041026 T 1 3505176.14 0041031 F 2
1 454835.60 3041026 T 1 2821333.67 3041031 T 2
1 454835.60 3041026 T 1 2785810.22 0041021 F 2
1 454835.60 3041026 T 1 453551.60 1041016 F 2
1 454835.60 3041026 T 1 425092.40 3036021 F 2
1 454835.60 3041026 T 1 4675603.60 2046046 F 2
1 454835.60 3041026 T 1 453885.20 3031031 F 2
1 454835.60 3041026 T 1 456426.80 0046026 F 2
1 454835.60 3041026 T 1 2769126.67 3031021 T 2
1 454835.60 3041026 T 1 3239252.40 1051026 F 2
1 454835.60 3041026 T 1 2779610.22 2046021 F 2
1 454835.60 3041026 T 1 3251526.40 2026021 F 2
1 454835.60 3041026 T 1 4671915.20 2046031 F 2
1 454835.60 3041026 T 1 1856602.80 0056021 F 2
1 454835.60 3041026 T 1 456137.20 0061026 F 2
1 454835.60 3041026 T 1 457186.00 3046031 F 2
1 454835.60 3041026 T 1 3252540.80 2021031 F 2
1 454835.60 3041026 T 1 2823590.83 3036026 T 2
1 454835.60 3041026 T 1 456074.40 3046041 F 2
1 454835.60 3041026 T 1 1645286.67 3051016 T 2
1 454835.60 3041026 T 1 3505176.14 0041031 F 2
1 454835.60 3041026 T 1 454835.60 3041026 T 2
1 454835.60 3041026 T 1 2777320.44 1036016 F 2
1 454835.60 3041026 T 1 3628538.89 2036026 F 2
1 454835.60 3041026 T 1 2821333.67 3041031 T 2
1 454835.60 3041026 T 1 3628538.89 2036026 F 2
1 454835.60 3041026 T 1 3247576.80 2056026 F 2
1 454835.60 3041026 T 1 4669134.00 2061031 F 2
1 454835.60 3041026 T 1 2823590.83 3036026 T 2
1 454835.60 3041026 T 1 3268474.40 0036031 F 2
1 454835.60 3041026 T 1 3058865.50 2031031 F 2
1 454835.60 3041026 T 1 1862259.20 0051021 F 2
1 454835.60 3041026 T 1 4057232.67 1036026 F 2
1 454835.60 3041026 T 1 2769126.67 3031021 T 2
1 454835.60 3041026 T 1 456747.60 3046026 T 2
1 454835.60 3041026 T 1 2825604.17 3056036 F 2
1 454835.60 3041026 T 1 456747.60 3046026 T 2
1 454835.60 3041026 T 1 455836.80 3036031 T 2
1 454835.60 3041026 T 1 452797.20 0046031 F 2
1 454835.60 3041026 T 1 2823590.83 3036026 T 2
1 454835.60 3041026 T 1 2769560.44 3021016 F 2
1 454835.60 3041026 T 1 1660779.33 1046021 F 2
1 454835.60 3041026 T 1 1650619.33 1041011 F 2
1 454835.60 3041026 T 1 1620961.33 0041016 F 2
1 454835.60 3041026 T 1 1649455.67 3051021 F 2
1 454835.60 3041026 T 1 456743.20 3056021 T 2
1 454835.60 3041026 T 1 1862259.20 0051021 F 2
1 454835.60 3041026 T 1 3062097.75 2041031 F 2
1 454835.60 3041026 T 1 457002.00 3046021 F 2
1 454835.60 3041026 T 1 3066829.50 0041036 F 2
1 454835.60 3041026 T 1 2823590.83 3036026 T 2
1 454835.60 3041026 T 1 3239674.80 0041026 F 2
1 454835.60 3041026 T 1 2785680.00 0046021 F 2
1 454835.60 3041026 T 1 455836.80 3036031 T 2
1 454835.60 3041026 T 1 3062097.75 2041031 F 2
1 454835.60 3041026 T 1 3239252.40 1051026 F 2
1 454835.60 3041026 T 1 3239252.40 1051026 F 2
1 454835.60 3041026 T 1 454835.60 3041026 T 2
1 454835.60 3041026 T 1 1647209.33 3041011 T 2
1 454835.60 3041026 T 1 3670879.54 2046026 T 2
1 454835.60 3041026 T 1 2823590.83 3036026 T 2
1 454835.60 3041026 T 1 3637556.44 2041021 F 2
1 454835.60 3041026 T 1 3268474.40 0036031 F 2
1 454835.60 3041026 T 1 3505176.14 0041031 F 2
1 454835.60 3041026 T 1 2779610.22 2046021 F 2
1 454835.60 3041026 T 1 451661.60 3051031 F 2
1 454835.60 3041026 T 1 451661.60 3051031 F 2
1 454835.60 3041026 T 1 3060719.50 2036016 F 2
1 454835.60 3041026 T 1 457910.00 3046036 F 2
1 454835.60 3041026 T 1 2776775.33 2036021 F 2
1 454835.60 3041026 T 1 3025469.09 2061021 F 2
1 454835.60 3041026 T 1 2823590.83 3036026 T 2
1 454835.60 3041026 T 1 451661.60 3051031 F 2
1 454835.60 3041026 T 1 456074.40 3046041 F 2
1 454835.60 3041026 T 1 456743.20 3056021 T 2
1 454835.60 3041026 T 1 3505176.14 0041031 F 2
1 454835.60 3041026 T 1 1609675.00 3051011 T 2
1 3307172.60 3016026 T 1 3307172.60 3016026 T 2
1 3307172.60 3016026 T 1 4665478.00 1001016 F 2
1 3307172.60 3016026 T 1 3304499.60 3016031 F 2
1 3307172.60 3016026 T 1 4667171.60 2011021 F 2
1 3307172.60 3016026 T 1 3217672.40 3006026 F 2
1 3307172.60 3016026 T 1 4636852.40 2016031 F 2
1 3307172.60 3016026 T 1 2765271.78 3026016 T 2
1 3307172.60 3016026 T 1 4344611.11 3011021 F 2
1 3307172.60 3016026 T 1 3245828.40 3021026 T 2
1 3307172.60 3016026 T 1 3245987.20 1016011 F 2
1 3307172.60 3016026 T 1 4346154.00 3011026 F 2
1 3307172.60 3016026 T 1 4659272.40 1011026 F 2
1 3307172.60 3016026 T 1 4677724.40 0026011 F 2
1 3307172.60 3016026 T 1 4365684.44 1006036 F 2
1 3307172.60 3016026 T 1 4347660.67 3001026 F 2
1 3307172.60 3016026 T 1 4642101.20 0021041 F 2
1 3307172.60 3016026 T 1 4065198.67 2011026 F 2
1 3307172.60 3016026 T 1 4053865.33 2016026 F 2
1 3307172.60 3016026 T 1 4668159.60 1016001 F 2
1 3307172.60 3016026 T 1 3307172.60 3016026 T 2
1 3307172.60 3016026 T 1 4636149.20 1031031 F 2
1 3307172.60 3016026 T 1 4633146.40 0021026 F 2
1 3307172.60 3016026 T 1 3244845.20 3016041 F 2
1 3307172.60 3016026 T 1 4057874.33 1026016 F 2
1 3307172.60 3016026 T 1 3245987.20 1016011 F 2
1 3307172.60 3016026 T 1 4350841.11 3001031 F 2
1 3307172.60 3016026 T 1 4667171.60 2011021 F 2
1 3307172.60 3016026 T 1 4060739.33 2006016 F 2
1 3307172.60 3016026 T 1 3626126.55 3011031 F 2
1 3307172.60 3016026 T 1 3245828.40 3021026 T 2
1 3307172.60 3016026 T 1 3157214.00 3016036 T 2
1 3307172.60 3016026 T 1 4346154.00 3011026 F 2
1 3307172.60 3016026 T 1 3315736.20 0016016 F 2
1 3307172.60 3016026 T 1 4664527.60 2006041 F 2
1 3307172.60 3016026 T 1 4666804.80 1016021 F 2
1 3307172.60 3016026 T 1 4667339.20 0001026 F 2
1 3307172.60 3016026 T 1 3302838.80 3016021 F 2
1 3307172.60 3016026 T 1 2820884.33 3031026 F 2
1 3307172.60 3016026 T 1 2782709.11 0026026 F 2
1 3307172.60 3016026 T 1 4662486.40 0011026 F 2
1 3307172.60 3016026 T 1 3303910.20 3006021 T 2
1 3307172.60 3016026 T 1 3236618.80 3016016 T 2
1 3307172.60 3016026 T 1 2766771.11 3031016 T 2
1 3307172.60 3016026 T 1 3307172.60 3016026 T 2
1 3307172.60 3016026 T 1 3245828.40 3021026 T 2
1 3307172.60 3016026 T 1 4343976.44 3006016 F 2
1 3307172.60 3016026 T 1 3484403.43 3011046 F 2
1 3307172.60 3016026 T 1 4352307.11 3006031 F 2
1 3307172.60 3016026 T 1 4059969.00 0011011 F 2
1 3307172.60 3016026 T 1 4365895.11 2011016 F 2
