Run Fitness1 Solution1 Elite1 Fitness2 Solution2 Elite2
1 3050362.0000 31600006 T 2767614.6667 32600026 T
1 3050362.0000 31600006 T 3253934.4000 21600021 F
1 3050362.0000 31600006 T 3049449.5000 31100011 F
1 3050362.0000 31600006 T 3251944.0000 12100011 F
1 3050362.0000 31600006 T 3257330.0000 02600006 T
1 3050362.0000 31600006 T 3063514.7500 22100011 F
1 3050362.0000 31600006 T 3049795.7500 31600011 T
1 3050362.0000 31600006 T 4170210.9333 31600001 T
1 3050362.0000 31600006 T 2786091.6667 02600021 F
1 3050362.0000 31600006 T 3247656.8000 13100006 F
1 3050362.0000 31600006 T 3051257.7500 32100016 T
1 3050362.0000 31600006 T 4483117.1429 0100021 F
1 3050362.0000 31600006 T 3051687.5000 33100001 F
1 3050362.0000 31600006 T 3239757.2000 33100006 T
1 3050362.0000 31600006 T 4295276.3636 32100001 F
1 3050362.0000 31600006 T 3258510.0000 01600001 F
1 3050362.0000 31600006 T 3250325.2000 21100001 F
1 3050362.0000 31600006 T 3239757.2000 33100006 T
1 3050362.0000 31600006 T 3236442.4000 3600001 T
1 3050362.0000 31600006 T 3251944.0000 12100011 F
1 3050362.0000 31600006 T 3261995.2000 11600001 F
1 3050362.0000 31600006 T 3250694.8000 02600011 F
1 3050362.0000 31600006 T 3251944.0000 12100011 F
1 3050362.0000 31600006 T 3052002.0000 32600016 T
1 3050362.0000 31600006 T 3234831.6000 32100006 F
1 3050362.0000 31600006 T 3234831.6000 32100006 F
1 3050362.0000 31600006 T 3080331.2500 01100021 F
1 3050362.0000 31600006 T 3049795.7500 31600011 T
1 3050362.0000 31600006 T 3234831.6000 32100006 F
1 3050362.0000 31600006 T 3257588.4000 1600006 F
1 3050362.0000 31600006 T 3061354.2500 21100016 F
1 3050362.0000 31600006 T 3250605.6000 01600011 F
1 3050362.0000 31600006 T 4342170.8889 32600001 F
1 3050362.0000 31600006 T 3250694.8000 02600011 F
1 3050362.0000 31600006 T 3254854.8000 12600006 T
1 3050362.0000 31600006 T 3445235.1429 21100006 F
1 3050362.0000 31600006 T 3234831.6000 32100006 F
1 3050362.0000 31600006 T 3049449.5000 31100011 F
1 3050362.0000 31600006 T 3105722.5000 33100026 T
1 3050362.0000 31600006 T 3235669.6000 3600006 F
1 3050362.0000 31600006 T 3250605.6000 01600011 F
1 3050362.0000 31600006 T 3250280.4000 2100011 F
1 3050362.0000 31600006 T 3247213.2000 12100006 F
1 3050362.0000 31600006 T 3051257.7500 32100016 T
1 3050362.0000 31600006 T 3235669.6000 3600006 F
1 3050362.0000 31600006 T 3245171.2000 13600006 T
1 3050362.0000 31600006 T 3049795.7500 31600011 T
1 3050362.0000 31600006 T 3235669.6000 3600006 F
1 3050362.0000 31600006 T 3049449.5000 31100011 F
1 3050362.0000 31600006 T 3104649.5000 33600006 T
1 3050362.0000 31600006 T 3259407.6000 02100006 F
1 3050362.0000 31600006 T 3049167.5000 31600026 F
1 3050362.0000 31600006 T 3060952.5000 2600006 F
1 3050362.0000 31600006 T 2769161.0000 32600011 T
1 3050362.0000 31600006 T 3066109.5000 22600016 F
1 3050362.0000 31600006 T 2767914.0000 33100011 T
1 3050362.0000 31600006 T 3058881.2500 2600021 F
1 3050362.0000 31600006 T 3239757.2000 33100006 T
1 3050362.0000 31600006 T 3235669.6000 3600006 F
1 3050362.0000 31600006 T 2786091.6667 02600021 F
1 3050362.0000 31600006 T 3234831.6000 32100006 F
1 3050362.0000 31600006 T 3049795.7500 31600011 T
1 3050362.0000 31600006 T 3051257.7500 32100016 T
1 3050362.0000 31600006 T 3082365.5000 01600016 F
1 3050362.0000 31600006 T 3246809.6000 1600011 F
1 3050362.0000 31600006 T 4488282.5714 01100006 F
1 3050362.0000 31600006 T 2769161.0000 32600011 T
1 3050362.0000 31600006 T 2783137.6667 12600011 F
1 3050362.0000 31600006 T 3255923.2000 11100001 F
1 3050362.0000 31600006 T 3249011.2000 0600016 F
1 3050362.0000 31600006 T 3048003.0000 31100006 T
1 3050362.0000 31600006 T 3235669.6000 3600006 F
1 3050362.0000 31600006 T 3235669.6000 3600006 F
1 3050362.0000 31600006 T 3250285.2000 23100016 F
1 3050362.0000 31600006 T 3246281.2000 11600016 F
1 3050362.0000 31600006 T 3049795.7500 31600011 T
1 3050362.0000 31600006 T 3048779.0000 31600021 T
1 3050362.0000 31600006 T 3246281.2000 11600016 F
1 3050362.0000 31600006 T 3048779.0000 31600021 T
1 3050362.0000 31600006 T 3050362.0000 31600006 T
1 3050362.0000 31600006 T 3249114.8000 02600016 F
1 3050362.0000 31600006 T 3260535.6000 02100011 F
1 3050362.0000 31600006 T 3063636.5000 2600016 F
1 3050362.0000 31600006 T 3251038.0000 1100026 F
1 3050362.0000 31600006 T 3051545.2500 31100016 F
1 3050362.0000 31600006 T 3235826.4000 32600006 T
1 3050362.0000 31600006 T 3252640.8000 12100026 F
1 3050362.0000 31600006 T 3249011.2000 0600016 F
1 3050362.0000 31600006 T 3260208.8000 0100001 F
1 3050362.0000 31600006 T 3246809.6000 1600011 F
1 3050362.0000 31600006 T 3048003.0000 31100006 T
1 3050362.0000 31600006 T 3444340.2857 2600011 F
1 3050362.0000 31600006 T 3247213.2000 12100006 F
1 3050362.0000 31600006 T 3255407.2000 01600006 F
1 3050362.0000 31600006 T 3047093.5000 32100011 T
1 3628436.4444 35600041 T 3260614.4000 14100041 F
1 3628436.4444 35600041 T 4344877.3333 36600041 F
1 3628436.4444 35600041 T 3241976.0000 05100051 F
1 3628436.4444 35600041 T 3261920.0000 26600041 F
1 3628436.4444 35600041 T 3263706.8000 15100046 F
1 3628436.4444 35600041 T 3240740.8000 17100051 F
1 3628436.4444 35600041 T 2771936.0000 36100041 F
1 3628436.4444 35600041 T 3236164.4000 25600046 F
1 3628436.4444 35600041 T 4490473.7143 04600056 F
1 3628436.4444 35600041 T 4486824.8571 25100041 F
1 3628436.4444 35600041 T 3237898.8000 36100046 F
1 3628436.4444 35600041 T 3240567.6000 35100041 T
1 3628436.4444 35600041 T 4491530.5714 26100041 F
1 3628436.4444 35600041 T 3242594.4000 14600046 F
1 3628436.4444 35600041 T 3271886.4000 06600041 F
1 3628436.4444 35600041 T 3260666.0000 16600031 F
1 3628436.4444 35600041 T 2770346.6667 35600036 T
1 3628436.4444 35600041 T 2779960.0000 15600031 F
1 3628436.4444 35600041 T 3228298.0000 35600046 F
1 3628436.4444 35600041 T 3239104.0000 35100046 F
1 3628436.4444 35600041 T 2769708.2222 36600051 F
1 3628436.4444 35600041 T 3243847.2000 36600046 F
1 3628436.4444 35600041 T 2769142.8889 37100041 F
1 3628436.4444 35600041 T 2781789.1111 05100046 F
1 3628436.4444 35600041 T 3628436.4444 35600041 T
1 3628436.4444 35600041 T 3239104.0000 35100046 F
1 3628436.4444 35600041 T 3263123.6000 15100041 F
1 3628436.4444 35600041 T 3258532.4000 26100036 F
1 3628436.4444 35600041 T 3074258.2500 34600046 F
1 3628436.4444 35600041 T 2769142.8889 37100041 F
1 3628436.4444 35600041 T 3270348.4000 06100036 F
1 3628436.4444 35600041 T 2377330.3636 35600056 T
1 3628436.4444 35600041 T 2388034.3636 35100056 F
1 3628436.4444 35600041 T 3117386.0000 05100031 F
1 3628436.4444 35600041 T 3242532.4000 15600046 F
1 3628436.4444 35600041 T 3230576.4000 36100051 F
1 3628436.4444 35600041 T 4345605.7778 37100036 F
1 3628436.4444 35600041 T 3228612.0000 36600056 F
1 3628436.4444 35600041 T 3262528.0000 05600036 F
1 3628436.4444 35600041 T 3242098.0000 06100046 F
1 3628436.4444 35600041 T 3256730.8000 26600046 F
1 3628436.4444 35600041 T 3253872.8000 16100051 F
1 3628436.4444 35600041 T 3268614.0000 15600036 F
1 3628436.4444 35600041 T 3280088.8000 08100046 F
1 3628436.4444 35600041 T 2776452.6667 04100056 F
1 3628436.4444 35600041 T 2770346.6667 35600036 T
1 3628436.4444 35600041 T 3262284.8000 16600046 F
1 3628436.4444 35600041 T 3249764.8000 15600061 F
1 3628436.4444 35600041 T 3239104.0000 35100046 F
1 3628436.4444 35600041 T 3255101.2000 24100041 F
1 3628436.4444 35600041 T 3246410.0000 06600056 F
1 3628436.4444 35600041 T 4483742.8571 24600041 F
1 3628436.4444 35600041 T 3263735.6000 27100041 F
1 3628436.4444 35600041 T 2776628.6667 26100051 F
1 3628436.4444 35600041 T 2776628.6667 26100051 F
1 3628436.4444 35600041 T 3237176.4000 15100026 F
1 3628436.4444 35600041 T 2770346.6667 35600036 T
1 3628436.4444 35600041 T 3267297.2000 07600031 F
1 3628436.4444 35600041 T 3228298.0000 35600046 F
1 3628436.4444 35600041 T 3263326.4000 14600036 F
1 3628436.4444 35600041 T 3235502.0000 25600036 F
1 3628436.4444 35600041 T 3253113.6000 25600051 F
1 3627335.6364 33600011 T 2767914.0000 33100011 T
1 3627335.6364 33600011 T 3261286.0000 05600011 F
1 3627335.6364 33600011 T 1822703.6000 33600016 T
