Run Fitness1 Solution1 Elite1 Fitness2 Solution2 Elite2
1 33478939.75 23100085041025xxxxxx101150 T 33720242.80 130070016065xxxxxxxxx151 F
1 33478939.75 23100085041025xxxxxx101150 T 33758696.20 3310005061055xxx051xxx101 F
1 33478939.75 23100085041025xxxxxx101150 T 33629025.20 23300045081015xxxxxx101400 F
1 33478939.75 23100085041025xxxxxx101150 T 41624119.00 20400065031040xxxxxx101xxx F
1 33478939.75 23100085041025xxxxxx101150 T 41282182.60 20250055056010xxxxxx001xxx F
1 33478939.75 23100085041025xxxxxx101150 T 33885424.40 23150040041045xxxxxx301051 F
1 33478939.75 23100085041025xxxxxx101150 T 33627839.20 33350075036020xxx091xxx300 F
1 33478939.75 23100085041025xxxxxx101150 T 33788873.40 22450075011060xxxxxx201150 F
1 33478939.75 23100085041025xxxxxx101150 T 39631856.20 30150080061030xxx061xxxxxx F
1 33478939.75 23100085041025xxxxxx101150 T 34906180.80 2135005016085xxxxxx401351 F
1 33478939.75 23100085041025xxxxxx101150 T 33540066.80 23200070021070xxxxxx101101 F
1 33478939.75 23100085041025xxxxxx101150 T 34202508.80 220060031050xxxxxx301151 F
1 33478939.75 23100085041025xxxxxx101150 T 33466785.80 03450080036070xxxxxxxxx151 F
1 33478939.75 23100085041025xxxxxx101150 T 39255442.20 00450050036075xxxxxxxxxxxx F
1 33478939.75 23100085041025xxxxxx101150 T 40777983.80 20150080086025xxxxxx201xxx F
1 33478939.75 23100085041025xxxxxx101150 T 33592583.20 2350055026015xxxxxx101101 F
1 33478939.75 23100085041025xxxxxx101150 T 40145884.00 20200095071050xxxxxx501xxx F
1 33478939.75 23100085041025xxxxxx101150 T 33340601.60 12400065041005xxxxxxxxx151 T
1 33478939.75 23100085041025xxxxxx101150 T 33448437.60 4325006506105080xxxxxx050 T
1 33478939.75 23100085041025xxxxxx101150 T 41514939.60 000075046030xxxxxxxxxxxx F
1 33478939.75 23100085041025xxxxxx101150 T 45736627.40 100035066025xxxxxxxxxxxx F
1 33478939.75 23100085041025xxxxxx101150 T 33481047.40 23150060021020xxxxxx401301 F
1 33478939.75 23100085041025xxxxxx101150 T 33690335.60 4330006004603030xxxxxx300 F
1 33478939.75 23100085041025xxxxxx101150 T 39747775.00 00400080086025xxxxxxxxxxxx F
1 33478939.75 23100085041025xxxxxx101150 T 33528879.40 2350090031060xxxxxx501050 F
1 33478939.75 23100085041025xxxxxx101150 T 33687566.40 230085016050xxxxxx101351 F
1 33478939.75 23100085041025xxxxxx101150 T 33779726.60 03100050081085xxxxxxxxx351 F
1 33478939.75 23100085041025xxxxxx101150 T 33708454.40 4220008509605570xxxxxx051 F
1 33478939.75 23100085041025xxxxxx101150 T 33620320.60 235008001070xxxxxx301151 F
1 33478939.75 23100085041025xxxxxx101150 T 33418526.00 23200055041060xxxxxx401351 F
1 33478939.75 23100085041025xxxxxx101150 T 33624237.80 33100050016055xxx081xxx400 F
